X,Y,Z,W,R,D
3.02036970438362,6.20025234793467,5.97410546781838,5.91642,4.26576,4.09421
2.99408914488434,6.17427351528131,5.97098467482665,5.91642,4.26576,4.09421
2.97087910473507,6.25198648036476,5.96752717160628,5.91642,4.26576,4.09421
2.97900429377116,6.28073381128698,5.96370566948353,5.90982,4.28116,4.05572
2.99781650160037,6.32873104451074,5.95958439216235,5.91752,4.30205,4.03152
3.01569714047118,6.43379494684922,5.95553684617655,5.91752,4.30205,4.03152
3.02648578254627,6.38129998640506,5.95112274480435,5.91862,4.30975,4.02823
3.01238189081782,6.41181358467048,5.94701839082021,5.91862,4.30975,4.02823
3.03024421512724,6.45497760114304,5.9425615035564,5.91972,4.32625,4.02933
2.98262852185965,6.38279352642356,5.93756041771325,5.91972,4.34934,4.04912
2.98966730170166,6.3253317769397,5.93253496888095,5.92082,4.34934,4.04912
2.97425689939176,6.30033282917389,5.92740143482597,5.92082,4.34934,4.04912
3.00302490913247,6.22832178448868,5.92208723788523,5.92082,4.37243,4.07001
3.00119755440264,6.26585852113197,5.91698959647056,5.91642,4.38563,4.07001
3.0076918794084,6.24602713091752,5.91282424520018,5.91642,4.38563,4.07001
3.03225843086302,6.17507682575148,5.90852316106123,5.91642,4.38563,4.07001
3.02889150209651,6.16277423905873,5.90489252160968,5.89663,4.37903,4.1173
3.00568981450776,6.08086110672234,5.90151135701912,5.89663,4.37903,4.1173
2.97833584656185,5.99738704459508,5.89877889469472,5.89663,4.37903,4.1173
2.97500004243268,5.9626827882617,5.89633256679487,5.89663,4.37903,4.1217
2.99625621296743,5.87166174789665,5.89464954924419,5.95491,4.35924,4.1107
2.99726390673486,5.85722144156444,5.89377042668491,5.95491,4.35924,4.1107
3.01009806478907,5.89184680996388,5.8938257535845,5.95491,4.35924,4.1107
3.01272995967956,5.87623216920292,5.89502463271523,5.9868,4.34164,4.10521
3.02438974855738,5.92985062842592,5.89708497786217,6.0033,4.32185,4.1195
3.02204437594465,5.88028836292748,5.89967455779843,6.0033,4.32185,4.1195
3.01274605538959,5.80742713009348,5.90305296963402,6.0176,4.30645,4.1404
2.98070114367083,5.72661767042383,5.90663732712011,6.0176,4.30645,4.1404
2.96955329949037,5.67122059089762,5.91108533182482,6.0132,4.28446,4.18109
2.99831420118386,5.65502135914899,5.91611695874272,6.0132,4.26906,4.20968
2.989806889936,5.69494216285786,5.92204229631107,6.0121,4.26906,4.20968
3.01184885678743,5.72761667749701,5.92828578894518,6.0121,4.26906,4.20968
3.01847958446429,5.78575978444741,5.93528981618709,6.0044,4.26246,4.25696
3.04244454445118,5.76585585520866,5.94231453343728,5.9868,4.26246,4.25696
3.00790358006304,5.746524580574,5.94932419067116,5.9868,4.26246,4.25696
2.9844097980927,5.6912301422961,5.95602822008443,5.9868,4.26246,4.25696
2.99522563801705,5.63500770546745,5.96287489358786,5.94391,4.24927,4.28666
2.98600039393168,5.64570541127598,5.96938055059963,5.94391,4.24927,4.28666
2.98875574445197,5.66598505323065,5.97603884256001,5.94391,4.24927,4.28666
2.99356444309895,5.74428877347982,5.98266657828927,5.94391,4.24927,4.30205
3.02000898607001,5.8513502582766,5.9893391701001,5.94062,4.22067,4.32735
3.02933168664134,5.8307776035991,5.99578623754555,5.94062,4.22067,4.32735
3.0284748044,5.86740010315524,6.00176235370515,5.94062,4.22067,4.32735
2.99500122866953,5.85572710736071,6.00696363736636,5.95051,4.21298,4.34274
2.98085155326811,5.77996838558368,6.01214272245975,5.96701,4.20858,4.34274
2.99262260681313,5.80761773710262,6.01698303174811,5.96701,4.20858,4.34274
2.96987857586592,5.8372896242797,6.02158846370535,5.97801,4.19538,4.34054
3.00412243761311,5.88610135723534,6.02610507490133,5.97801,4.19538,4.34054
3.01581520290106,6.05033906626328,6.03034819820296,5.9956,4.17669,4.34274
3.03581655887593,6.04209015109881,6.03504979231995,5.9956,4.17669,4.34384
3.02997616409295,6.08191631913444,6.03913461478061,6.02529,4.17669,4.34384
3.00770969050161,6.12458318074127,6.04268252813692,6.02529,4.17669,4.34384
2.99875921265312,6.07993039589743,6.04564794307546,6.02859,4.15579,4.36804
2.96711254485108,6.1033595472062,6.05111022509312,6.08358,4.1316,4.40323
2.96845070380638,6.15591218201798,6.05290045594216,6.08358,4.1316,4.40323
2.97954329600547,6.22363293276868,6.05454349172268,6.08358,4.1316,4.40323
3.00593247393107,6.34135624985513,6.05604994586348,6.09128,4.1162,4.4813
3.0480187637794,6.39467762843783,6.05726695320894,6.09128,4.1162,4.4813
3.03446890949962,6.42427482263193,6.05779252925244,6.09128,4.1162,4.4813
3.02856899528852,6.47298365472659,6.05731145934871,6.09128,4.1162,4.46701
3.00781248320458,6.46822252923371,6.05608831782267,5.9945,4.15799,4.43182
2.98435087845468,6.45549334263137,6.05370864504814,5.9945,4.15799,4.43182
2.96237380523571,6.49645588696431,6.05039149242079,5.9945,4.15799,4.43182
